1110101,1110101,函館,北海道函館市若松町１２-１３
1110102,1110102,五稜郭,函館市亀田本町
1110103,1110103,桔梗,北海道函館市桔梗３丁目４１-３６
1110104,1110104,大中山,亀田郡七飯町大字大中山
1110105,1110105,七飯,亀田郡七飯町字本町
1110106,1110106,新函館北斗,北海道北斗市市渡
1110107,1110107,仁山,亀田郡七飯町字仁山
1110108,1110108,大沼,北海道亀田郡七飯町字大沼町４
1110109,1110109,大沼公園,北海道亀田郡七飯町字大沼町８５
1110110,1110110,赤井川,茅部郡森町字赤井川
1110111,1110111,駒ケ岳,北海道茅部郡森町字駒ヶ岳
1110112,1110112,東山,茅部郡森町字駒ケ岳
1110113,1110113,姫川,茅部郡森町字姫川
1110114,1110114,池田園,亀田郡七飯町字軍川
1110115,1110115,流山温泉,亀田郡七飯町字東大沼２３６
1110116,1110116,銚子口,亀田郡七飯町字東大沼
1110117,1110117,鹿部,茅部郡鹿部町字本別
1110118,1110118,渡島沼尻,茅部郡森町砂原東４丁目
1110119,1110119,渡島砂原,茅部郡森町砂原４丁目
1110120,1110120,掛澗,茅部郡森町砂原西３丁目
1110121,1110121,尾白内,茅部郡森町字尾白内町
1110122,1110122,東森,茅部郡森町字港町
1110123,1110123,森,茅部郡森町字本町
1110124,1110124,桂川,茅部郡森町字鷲ノ木町
1110125,1110125,石谷,茅部郡森町字本茅部町
1110126,1110126,本石倉,茅部郡森町字石倉町
1110127,1110127,石倉,茅部郡森町字石倉町
1110128,1110128,落部,二海郡八雲町落部
1110129,1110129,野田生,二海郡八雲町野田生
1110130,1110130,山越,二海郡八雲町山越
1110131,1110131,八雲,二海郡八雲町本町
1110132,1110132,鷲ノ巣,二海郡八雲町花浦
1110133,1110133,山崎,二海郡八雲町山崎
1110134,1110134,黒岩,二海郡八雲町黒岩
1110135,1110135,北豊津,山越郡長万部町字豊津
1110136,1110136,国縫,山越郡長万部町字国縫
1110137,1110137,中ノ沢,山越郡長万部町字中の沢
1110138,1110138,長万部,山越郡長万部町字長万部
1110201,1110138,長万部,山越郡長万部町字長万部
1110202,1110202,二股,山越郡長万部町字双葉
1110203,1110203,蕨岱,山越郡長万部町字蕨岱
1110204,1110204,黒松内,寿都郡黒松内町字黒松内
1110205,1110205,熱郛,寿都郡黒松内町字白井川
1110206,1110206,目名,磯谷郡蘭越町目名町
1110207,1110207,蘭越,磯谷郡蘭越町蘭越町
1110208,1110208,昆布,磯谷郡蘭越町昆布町
1110209,1110209,ニセコ,虻田郡ニセコ町字中央通
1110210,1110210,比羅夫,虻田郡倶知安町比羅夫
1110211,1110211,倶知安,虻田郡倶知安町北三条西４丁目
1110212,1110212,小沢,岩内郡共和町小沢
1110213,1110213,銀山,余市郡仁木町銀山２丁目
1110214,1110214,然別,余市郡仁木町然別
1110215,1110215,仁木,余市郡仁木町字北町１丁目
1110216,1110216,余市,余市郡余市町黒川町５丁目
1110217,1110217,蘭島,小樽市蘭島１丁目
1110218,1110218,塩谷,小樽市塩谷２丁目
1110219,1110219,小樽,小樽市稲穂２丁目
1110301,1110219,小樽,小樽市稲穂２丁目
1110302,1110302,南小樽,小樽市住吉町
1110303,1110303,小樽築港,小樽市築港
1110304,1110304,朝里,小樽市朝里１丁目
1110305,1110305,銭函,小樽市銭函２丁目
1110306,1110306,ほしみ,札幌市手稲区手稲星置１条９丁目
1110307,1110307,星置,札幌市手稲区星置１条３丁目
1110308,1110308,稲穂,札幌市手稲区曙１条３丁目
1110309,1110309,手稲,札幌市手稲区手稲本町１条４丁目
1110310,1110310,稲積公園,札幌市手稲区富丘１条４丁目
1110311,1110311,発寒,札幌市西区発寒９条１３丁目
1110312,1110312,発寒中央,札幌市西区発寒十条３丁目
1110313,1110313,琴似,札幌市西区琴似2条2丁目
1110314,1110314,桑園,札幌市中央区北１１条西１５丁目
1110315,1110315,札幌,札幌市北区北６条西４丁目
1110316,1110316,苗穂,札幌市中央区北３条東１３丁目
1110317,1110317,白石,札幌市白石区平和通3丁目北6
1110318,1110318,厚別,札幌市厚別区厚別中央５条４丁目
1110319,1110319,森林公園,札幌市厚別区厚別北１条４丁目
1110320,1110320,大麻,江別市大麻中町
1110321,1110321,野幌,江別市野幌町
1110322,1110322,高砂,江別市高砂町
1110323,1110323,江別,江別市萩ケ岡
1110324,1110324,豊幌,江別市豊幌
1110325,1110325,幌向,岩見沢市幌向南１条３丁目
1110326,1110326,上幌向,岩見沢市上幌向南１条４丁目
1110327,1110327,岩見沢,岩見沢市有明町南
1110328,1110328,峰延,美唄市峰延
1110329,1110329,光珠内,美唄市光珠内
1110330,1110330,美唄,美唄市東一条南２丁目
1110331,1110331,茶志内,美唄市茶志内町
1110332,1110332,奈井江,空知郡奈井江町本町１区
1110333,1110333,豊沼,砂川市豊沼町
1110334,1110334,砂川,砂川市東２条北２丁目
1110335,1110335,滝川,滝川市栄町４丁目
1110336,1110336,江部乙,滝川市江部乙町西町１２丁目
1110337,1110337,妹背牛,雨竜郡妹背牛町字妹背牛
1110338,1110338,深川,深川市１条
1110339,1110339,納内,深川市納内町字納内
1110340,1110340,伊納,旭川市江丹別町春日
1110341,1110341,近文,旭川市近文町１９丁目
1110342,1110342,旭川,旭川市宮下通８丁目
1110401,1110138,長万部,山越郡長万部町字長万部
1110402,1110402,静狩,山越郡長万部町字静狩
1110403,1110403,小幌,虻田郡豊浦町字礼文華
1110404,1110404,礼文,虻田郡豊浦町字礼文華
1110405,1110405,大岸,虻田郡豊浦町字大岸
1110406,1110406,豊浦,虻田郡豊浦町字旭町
1110407,1110407,洞爺,虻田郡洞爺湖町旭町
1110408,1110408,有珠,伊達市有珠町
